key,parent_key,text,type,nb_players
,,"%s, tu as 5 minutes pour finir ton verre",1,1
,,"%s, dis un truc que t'as JAMAIS fait, ceux qui l'ont fait boivent $ gorgées",1,1
,,Honneur à %s qui distribue $ gorgées,1,1
,,%s boit $ gorgées,1,1
,,%s donne le mois de naissance de %s ou boit $ gorgées,1,2
,,%s enlève un vêtement ou boit $ gorgées,1,1
,,"%s, lèche l'avant-bras de ton/ta voisine de gauche ou boit $ gorgées",1,1
,,%s raconte une blague ou boit $ gorgées,1,1
,,Trinquons ensemble !,1,0
,,%s boit $ gorgées dans le verre de %s,1,2
,,"%s, si tu connais un peu %s va lui faire un bisou ou bois $ gorgées",1,2
,,"%s, si tu connais un peu %s va lui lécher la joue ou bois $ gorgées",1,2
,,"%s, soit tu fais un bisou à %s soit il ou elle boit $ gorgées",1,2
,,"%s, réponds à une question tabou choisie par %s, ou fais ta poule mouillée et finis ton verre",1,2
,,"%s, défis qui tu veux à la bataille de pouce, le/la perdante boit $ gorgées",1,1
,,"%s et %s se regardent droit dans les yeux, le/la première qui cligne boit $ gorgées",1,2
,,%s donne le nombre de gorgées qu'il/elle souhaite à %s,1,2
,,Le dernier joueur qui se lève boit $ gorgées,1,0
,,"%s, donne $ gorgées à %s ou $ gorgées à %s",1,3
,,"%s décide : soit %s distribue $ gorgées, soit %s distribue $ gorgées",1,3
,,%s boit $ gorgées et en distribue $,1,1
,,"%s, la prochaine personne que tu regardes dans les yeux boit $ gorgées",1,1
,,Celui ou celle qui enlève 2 vêtements en premier distribue $ gorgées,1,0
,,Le premier joueur à se lécher le coude distribue 100 gorgées,1,0
,,%s et %s se mettent d'accord pour donner $ gorgées à une seule personne,1,3
,,"%s, montre les 5 dernières photos de ton portable ou bois $ gorgées",1,1
,,%s laisse à %s le libre accès à son facebook pendant 2 min ou finit son verre,1,2
,,"Duel entre %s et %s, celui/celle qui a les plus grandes mains boit $ gorgées",1,2
,,"Pas d'bras pas d'chocolat, %s boit une gorgée sans les mains",1,1
,,%s raconte un dossier sur un des joueurs ou boit $ gorgées,1,1
,,Les mains en l'air ! La dernière personne boit $ gorgées ,1,0
,,Plus de téléphone ! La première personne à consulter son smartphone boit 10 gorgées.,1,0
,,"%s, bois le nombre de gorgées que tu veux. %s devra en boire le double",1,2
,,"Action/Vérité, %s choisit une action ou une vérité pour %s",1,2
,,"Tissons des liens, %s et %s se créent un check qu'ils/elles garderont à vie",1,2
,,Ceux qui arrivent à toucher leur nez avec leur langue distribuent $ gorgées,1,0
,,Les célibataires font boire $ gorgées à une seule personne,1,0
,,Les personnes en couple font boire $ gorgées à un seul joueur,1,0
,,%s fait un bisou sur les fesses de %s ou boit $ gorgées,1,2
,,La première personne à sortir une capote distribue $ gorgées,1,0
,,La dernière personne qui enlèvent ses pieds du sol boit $ gorgées,1,0
,,"%s, nomme un accessoire (ceinture, tongs, vernis ...). Les personnes portant cet accessoire boivent $ gorgées",1,1
,,"Photo souvenir, %s et %s se prennent en selfie en train de loucher",1,2
,,%s rajoute du soft ou de l'alcool dans le verre de %s,1,2
,,"%s et %s, buvez ensemble $ gorgées",1,2
,,"A tour de rôle, rajouter un peu d'alcool dans votre verre, %s commence",1,1
,,"Jeu du loup jusqu'à la fin du jeu ! Le loup touche un joueur qui boit une gorgée et qui devient le loup, ainsi de suite. C'est %s le loup",1,1
,,Ceux qui possèdent un paquet de clopes boivent leur nombre de cigarettes restantes en gorgées (8 maxi),1,0
,,"%s, fais nous trois pas de danse ou bois $ gorgées",1,1
,,"%s, donne l'âge de %s ou bois $ gorgées",1,2
,,"%s, donne le signe astrologique de %s ou bois $ gorgées",1,2
,,"%s, ferme les yeux et donne la couleur des yeux de %s ou bois $ gorgées",1,2
,,"%s, ferme les yeux et donne la couleur des chaussures de %s ou bois $ gorgées",1,2
,,"%s, tu as 3 secondes pour donner le nombre exact de personnes dans la pièce. Echoue et tu boiras $ gorgées ",1,1
,,"%s, donne la couleur préférée de %s ou bois $ gorgées",1,2
,,La prochaine personne qui sourit prend $ gorgées,1,0
,,"Les joueurs incapables de toucher le sol - debout, jambes tendus - boivent $ gorgées",1,0
