key,parent_key,text,type,nb_players
,,%s imite un mec en train de chier ou boit $ gorgées,1,1
,,%s nous montre ses coui**es ou boit $ gorgées,1,1
,,"La dernière personne qui crie ""chienne"" finit son verre !",1,0
,,"%s, fais un bras de fer avec %s, le joueur qui perd boit $ gorgées. Ou échappe toi et bois $ gorgées",1,2
,,"La dernière personne à crier ""%s lèche ma schneck !"" boit $ gorgées",1,1
,,Le premier joueur qui rote distribue $ gorgées,1,0
,,%s va se chercher une crotte de nez ou boit $ gorgées,1,1
,,"%s, montre tes poils pubiens ou bois $ gorgées",1,1
,,"Jusqu'à la fin du jeu, le/la première à péter de façon audible distribue 10 gorgées",1,0
,,Le/La dernière à avoir sucé un zgeg distribue $ gorgées,1,0
,,%s lèche le sol ou boit $ gorgées,1,1
,,"%s et %s font un combat de pompes, le/la perdante boit $ gorgées. Ou renonce et bois $ gorgées",1,2
,,"%s, secoue ta tête dans les fesses de %s ou bois $ gorgées",1,2
,,"%s, verse un peu de ton verre dans celui de chaque joueur",1,1
,,Tout le monde verse un peu de son verre dans celui de %s,1,1
,,"%s, lèche l'oreille de %s ou bois $ gorgées",1,2
,,%s et %s baissent leur froque. Ou boivent $ gorgées,1,2
,,"%s, finis ton verre ou remplis le à ras bord",1,1
,,"%s, prend les verres de tes voisins ou voisines et fais les boire $ gorgées",1,1
,,La première personne qui donne l'année de naissance de Jésus distribue $ gorgées,1,0
,,%s met un glaçon dans son calbute/soutif pendant 5 minutes,1,1
,,"%s, pince les tétons de %s ou bois $ gorgées",1,2
,,%s montre son beau petit cul à tout le monde ou finit son verre,1,1
,,"%s boit $ gorgées à l'envers (les mains par terre, les jambes en l'air). %s et %s l'aident à tenir en équilibre",1,3
,,%s met un doigt dans le nez de %s ou boit $ gorgées,1,2
,,"%s, bois autant de gorgées que le nombre de b*tes que tu as sucées",1,1
,,"%s, va toucher le sexe de %s ou tout le monde boit $ gorgées",1,2
,,%s fait une pompe d'une main ou boit $ gorgées,1,1
,,%s imite le bruit d'une gorge profonde en buvant $ gorgées,1,1
,,"%s, fais comme si tu te mastur*ais pendant 10 secondes en buvant $ gorgées",1,1
,,%s boit $ gorgées sans poser les lèvres sur son verre,1,1
,,"%s doit mettre quelque chose de comestible dans le verre de %s, il/elle attendra d'avoir fini son verre pour l'enlever",1,2
,,"Concours de cul sec entre %s et %s, le ou la gagnante gagne l'immunité pendant 8 min",1,2
,,%s se fait déposer un poil pubien dans son verre ou le finit cul sec,1,1
,,%s boit $ gorgées en mode cumshot (ne fait pas toucher les lèvres),1,1
,,"%s, soit tu laisses %s changer ta photo de profil facebook jusqu'à la fin de jeu, soit tu finis ton verre",1,2
,,"%s, énonce le prénom de ""%s"" en rotant ou bois $ gorgées",1,2
,,"%s, au choix : remet de l'alcool fort dans ton verre ou bois $ gorgées",1,1
,,"%s, si tu bois $ gorgées, %s et %s en boivent le double",1,3
,,Le prochain joueur à devoir boire triplera son nombre de gorgées !,1,0
,,Le prochain joueur à devoir boire quadruplera son nombre de gorgées !,1,0
,,"%s, accepte qu'un des joueurs prennent des photos de son sexe avec ton téléphone ou bois $ gorgées",1,1
,,%s choisit entre boire $ gorgées ou embrasser les pieds de %s,1,2
,,"%s, si tu fais 15 pompes, %s boit $ gorgées",1,2
,,"%s, bois $ gorgées en passant le bras qui tient le verre sous une jambe",1,1
,,"%s, si %s compte jusqu'à 50 avant que tu n'aies fait 10 tours sur toi-même tu finis ton verre",1,2
,,Le premier joueur à mettre un snap dans sa story distribue $ gorgées,1,0
,,Le premier joueur à montrer son sexe distribue $ gorgées,1,0
,,%s renifle les aisselles de %s ou boit $ gorgées,1,2
,,"%s, va gratter le dos de %s ou bois $ gorgées",1,2
,,"%s, choisis entre boire 1 gorgée dans chaque verre ou 5 gorgées dans le tien",1,1
,,En mode gros beauf ! %s et %s font un concours du plus gros biceps et les joueurs sont le jury. Le ou la perdante boit $ gorgées,1,3
,,"%s renifle le slip, culotte, string, tanga ou shorty de %s ou boit $ gorgées",1,2
,,"%s, fais 5 tours sur toi-même et bois à chaque fois que tu fais face aux débiles qui te regardent",1,1
,,Concours de débilité entre %s et %s ! Celui ou celle qui se met la plus grosse claque gagne. L'autre boit $ gorgées,1,2
,,Concours de débilité entre %s et %s ! Celui ou celle qui se met la plus grosse fessée gagne. L'autre boit $ gorgées,1,2
,,Concours jusqu'à la fin du jeu entre %s et %s ! La personne qui tient le plus longtemps les bras en l'air gagne. L'autre boit $ gorgées,1,2
,,Concours jusqu'à la fin du jeu entre %s et %s ! La personne qui tient le plus longtemps sur une jambe fléchie gagne. L'autre boit $ gorgées,1,2
,,Concours jusqu'à la fin du jeu entre %s et %s ! La personne qui tient le plus longtemps en tournant sur soi-même gagne. L'autre boit $ gorgées,1,2
,,Concours jusqu'à la fin du jeu entre %s et %s ! La personne qui tient le plus longtemps en faisant des squats gagne. L'autre boit $ gorgées,1,2
,,"Concours jusqu'à la fin du jeu entre %s et %s ! La personne qui tient le plus longtemps à dire en boucle ""j'aime la sodomie"" gagne. L'autre boit $ gorgées",1,2
,,"Concours jusqu'à la fin du jeu entre %s et %s ! La personne qui tient le plus longtemps à dire en boucle ""je suis moche"" gagne. L'autre boit $ gorgées",1,2
,,"Concours jusqu'à la fin du jeu entre %s et %s ! La personne qui tient le plus longtemps à dire en boucle ""je suis stupide"" gagne. L'autre boit $ gorgées",1,2
