key,parent_key,text,type,nb_players
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le nom de famille maternel de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À 5 près, quel est le nombre de conquêtes de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À plus ou moins 1cm, quelle est la taille de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la ville de naissance de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le genre littéraire préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la partie du corps que %s regarde le plus en général ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est l'animal préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la pointure de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la saveur de crème glacée préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Où chante %s le plus souvent ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la main directrice de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la date de naissance de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le signe astrologique de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la bière préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la couleur préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est l'alcool préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le plat préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le dessert préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le prénom du ou de la dernière ex de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la saison préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est l'adresse (la rue) où habite %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la plus grosse qualité de %s selon lui / elle ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À 200g près, quel était le poids de %s à la naissance ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le jour préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le mois préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À quand remonte la dernière masturb*tion de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À quand remonte la dernière fois où %s est allé(e) au restaurant ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Est ce que %s préfère le salé ou le sucré ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Est ce que %s préfère le sirop de menthe ou de grenadine ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Est ce que %s préfère la pizza ou le kebab ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Est ce que %s préfère la sod*mie ou la pipe ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la marque de parfum préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quel est le bijou préféré de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la taille de maillot de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À quel âge %s a fait son premier bisou sur la bouche ?",8,1
